Month,East_North_Central_NSA,East_North_Central_SA,East_South_Central_NSA,East_South_Central_SA,Middle_Atlantic_NSA,Middle_Atlantic_SA,Mountain_NSA,Mountain_SA,New_England_NSA,New_England_SA,Pacific_NSA,Pacific_SA,South_Atlantic_NSA,South_Atlantic_SA,West_North_Central_NSA,West_North_Central_SA,West_South_Central_NSA,West_South_Central_SA,USA_NSA,USA_SA
1991-01-01 00:00:00,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1991-02-01 00:00:00,100.89,100.94,101,100.64,100.15,100.3,98.37,98.73,101.81,102.44,100.13,100.57,100.59,100.47,100.49,100.46,99.84,99.6,100.39,100.45
1991-03-01 00:00:00,101.29,100.9,100.87,100.44,100.1,99.81,100.21,100.61,101.52,101.37,99.97,100.14,101.01,100.62,100.42,100.12,100.64,100.5,100.68,100.48
1991-04-01 00:00:00,101.68,100.96,100.85,100.48,99.59,99.28,100.31,100.38,101.03,101.06,100.14,100.12,100.9,100.4,100.84,100.36,100.38,100.1,100.69,100.33
1991-05-01 00:00:00,102.3,101.31,101.15,100.77,99.73,99.24,100.7,100.49,99.84,99.86,100.34,100.1,100.77,100.47,100.81,100.3,100.79,100.29,100.85,100.39
1991-06-01 00:00:00,102.78,101.45,102.01,101.46,99.85,98.95,102.09,101.57,99.19,98.59,100.45,99.93,101.3,100.52,101.42,100.52,101.94,100.96,101.35,100.51
1991-07-01 00:00:00,102.95,101.86,101.84,101.34,100.34,99.23,101.48,101.34,99.1,98.7,100.42,99.86,101,100.41,101.29,100.34,101.81,100.89,101.31,100.54
1991-08-01 00:00:00,103.11,102.01,101.71,100.83,99.82,98.79,101.78,101.23,98.4,97.83,100.77,100.01,100.86,100.01,101.79,100.73,101.56,100.58,101.28,100.38
1991-09-01 00:00:00,102.84,101.98,101.98,101.18,100.39,99.45,101.96,101.79,99.92,99.05,100.25,99.48,100.68,100.04,101.62,100.84,102.13,101.45,101.36,100.61
1991-10-01 00:00:00,103.06,102.28,101.93,101.59,100.22,99.14,102.99,102.5,99.2,98.66,100.8,100.3,101.61,100.88,101.89,101.48,101.41,100.72,101.58,100.91
1991-11-01 00:00:00,103.97,103.33,102.76,102.18,101.12,100.15,103.96,103.71,98.16,97.12,100.85,100.62,102.01,101.16,101.81,101.44,101.85,101.24,102.03,101.41
1991-12-01 00:00:00,103.71,103.36,103.4,103.25,100.83,100.5,103.77,103.67,99.02,98.67,101.01,100.73,101.96,101.59,102.84,102.5,102.22,102,102.18,101.88
1992-01-01 00:00:00,103.84,103.87,103.31,103.32,100.85,100.87,104.35,104.42,99.8,99.82,100.97,100.97,101.84,101.83,102.37,102.38,102.39,102.39,102.23,102.24
1992-02-01 00:00:00,104.35,104.39,104.45,104.1,101.85,102.05,105.14,105.55,99.75,100.42,101.02,101.48,102.71,102.59,102.87,102.86,103.5,103.27,102.89,102.97
