Geographic_Area,Estimates_Base_2020,Year_2020,Year_2021,Year_2022,Year_2023
United States,140498736,140808401,142163952,143789637,145344636
".Autauga County, Alabama",24351,24415,24765.0,25110.0,25318.0
".Baldwin County, Alabama",124148,124915,128477.0,132248.0,135669.0
".Barbour County, Alabama",11618,11626,11675.0,11755.0,11816.0
".Bibb County, Alabama",9004,9016,9077.0,9155.0,9208.0
".Blount County, Alabama",24623,24648,24757.0,24944.0,25065.0
".Bullock County, Alabama",4517,4522,4546.0,4588.0,4616.0
".Butler County, Alabama",9804,9810,9834.0,9884.0,9911.0
".Calhoun County, Alabama",53052,53080,53199.0,53404.0,53540.0
".Chambers County, Alabama",16373,16388,16416.0,16462.0,16499.0
".Cherokee County, Alabama",14514,14531,14611.0,14733.0,14847.0
".Chilton County, Alabama",19438,19461,19582.0,19880.0,20132.0
".Choctaw County, Alabama",7104,7110,7143.0,7201.0,7237.0
".Clarke County, Alabama",11655,11661,11696.0,11757.0,11794.0
".Clay County, Alabama",7035,7038,7057.0,7097.0,7135.0
".Cleburne County, Alabama",6801,6807,6836.0,6888.0,6921.0
".Coffee County, Alabama",24106,24183,24463.0,24692.0,24878.0
".Colbert County, Alabama",27666,27701,27888.0,28130.0,28224.0
".Conecuh County, Alabama",6382,6388,6420.0,6461.0,6486.0
".Coosa County, Alabama",5996,6001,6024.0,6070.0,6094.0
".Covington County, Alabama",18596,18617,18657.0,18737.0,18791.0
".Crenshaw County, Alabama",6517,6521,6543.0,6579.0,6600.0
".Cullman County, Alabama",39144,39224,39471.0,39888.0,40316.0
".Dale County, Alabama",22761,22779,22870.0,23004.0,23096.0
".Dallas County, Alabama",18880,18881,18903.0,18948.0,18940.0
".DeKalb County, Alabama",30585,30615,30776.0,31011.0,31168.0
".Elmore County, Alabama",36817,36851,37090.0,37385.0,37563.0
".Escambia County, Alabama",16684,16692,16734.0,16815.0,16876.0
".Etowah County, Alabama",47306,47314,47414.0,47641.0,47789.0
".Fayette County, Alabama",7761,7765,7779.0,7810.0,7833.0
".Franklin County, Alabama",13912,13918,13954.0,14014.0,14048.0
".Geneva County, Alabama",12452,12463,12516.0,12601.0,12672.0
".Greene County, Alabama",4205,4210,4236.0,4278.0,4300.0
".Hale County, Alabama",7399,7410,7462.0,7600.0,7702.0
".Henry County, Alabama",9058,9069,9159.0,9252.0,9309.0
".Houston County, Alabama",49282,49365,49747.0,50201.0,50623.0
".Jackson County, Alabama",24626,24643,24745.0,24902.0,25016.0
".Jefferson County, Alabama",307789,308023,309203.0,310662.0,312548.0
".Lamar County, Alabama",7069,7073,7092.0,7131.0,7153.0
".Lauderdale County, Alabama",44586,44614,44718.0,44923.0,45114.0
".Lawrence County, Alabama",15225,15236,15293.0,15405.0,15476.0
".Lee County, Alabama",74859,75376,77630.0,79609.0,81879.0
".Limestone County, Alabama",42691,42793,43366.0,44296.0,45270.0
".Lowndes County, Alabama",4782,4787,4811.0,4853.0,4880.0
".Macon County, Alabama",9604,9608,9630.0,9676.0,9696.0
".Madison County, Alabama",169820,170550,174119.0,179267.0,182179.0
".Marengo County, Alabama",9777,9782,9810.0,9863.0,9894.0
".Marion County, Alabama",14073,14090,14130.0,14206.0,14288.0
".Marshall County, Alabama",41246,41286,41491.0,41750.0,41985.0
".Mobile County, Alabama",184442,184563,185293.0,186211.0,186769.0
".Monroe County, Alabama",10127,10132,10155.0,10200.0,10230.0
".Montgomery County, Alabama",105294,105365,105711.0,106187.0,106532.0
".Morgan County, Alabama",53265,53308,53543.0,53839.0,54131.0
".Perry County, Alabama",3933,3934,3939.0,3957.0,3966.0
".Pickens County, Alabama",8646,8653,8683.0,8737.0,8771.0
".Pike County, Alabama",15975,16002,16101.0,16252.0,16350.0
".Randolph County, Alabama",12400,12408,12450.0,12531.0,12580.0
".Russell County, Alabama",27252,27286,27484.0,27676.0,27970.0
".St. Clair County, Alabama",37909,38005,38509.0,39241.0,39938.0
".Shelby County, Alabama",89060,89347,90898.0,92188.0,93205.0
".Sumter County, Alabama",6280,6287,6314.0,6361.0,6386.0
".Talladega County, Alabama",37948,38000,38230.0,38541.0,38802.0
".Tallapoosa County, Alabama",22688,22720,22901.0,23222.0,23418.0
".Tuscaloosa County, Alabama",101459,101817,103079.0,104640.0,105665.0
".Walker County, Alabama",29975,30004,30164.0,30406.0,30582.0
".Washington County, Alabama",7712,7719,7747.0,7802.0,7836.0
".Wilcox County, Alabama",5261,5266,5293.0,5340.0,5372.0
".Winston County, Alabama",13016,13027,13083.0,13177.0,13238.0
".Aleutians East Borough, Alaska",679,679,679.0,680.0,679.0
".Aleutians West Census Area, Alaska",1331,1332,1336.0,1340.0,1339.0
".Anchorage Municipality, Alaska",118643,118895,119800.0,120864.0,120969.0
".Bethel Census Area, Alaska",5984,5988,6000.0,6018.0,6028.0
".Bristol Bay Borough, Alaska",857,859,860.0,863.0,873.0
".Chugach Census Area, Alaska",3565,3569,3582.0,3593.0,3604.0
".Copper River Census Area, Alaska",2769,2769,2768.0,2767.0,2766.0
".Denali Borough, Alaska",1606,1606,1606.0,1605.0,1604.0
".Dillingham Census Area, Alaska",2404,2404,2403.0,2402.0,2401.0
".Fairbanks North Star Borough, Alaska",42659,42662,42665.0,42683.0,42693.0
".Haines Borough, Alaska",1370,1372,1376.0,1383.0,1392.0
".Hoonah-Angoon Census Area, Alaska",1776,1777,1797.0,1798.0,1802.0
".Juneau City and Borough, Alaska",14093,14135,14176.0,14231.0,14286.0
".Kenai Peninsula Borough, Alaska",32622,32649,32732.0,32831.0,32946.0
".Ketchikan Gateway Borough, Alaska",6615,6626,6665.0,6698.0,6732.0
".Kodiak Island Borough, Alaska",5825,5832,5848.0,5854.0,5862.0
".Kusilvak Census Area, Alaska",2342,2342,2341.0,2340.0,2338.0
".Lake and Peninsula Borough, Alaska",1469,1469,1468.0,1468.0,1467.0
".Matanuska-Susitna Borough, Alaska",51076,51099,51143.0,51174.0,51214.0
".Nome Census Area, Alaska",4095,4096,4102.0,4108.0,4103.0
".North Slope Borough, Alaska",2619,2619,2655.0,2661.0,2663.0
".Northwest Arctic Borough, Alaska",2716,2718,2728.0,2738.0,2744.0
".Petersburg Borough, Alaska",1718,1720,1748.0,1753.0,1756.0
".Prince of Wales-Hyder Census Area, Alaska",3227,3229,3229.0,3228.0,3233.0
".Sitka City and Borough, Alaska",4139,4141,4150.0,4162.0,4173.0
".Skagway Municipality, Alaska",760,764,765.0,767.0,769.0
".Southeast Fairbanks Census Area, Alaska",3513,3513,3512.0,3510.0,3509.0
".Wrangell City and Borough, Alaska",1273,1274,1276.0,1281.0,1282.0
".Yakutat City and Borough, Alaska",441,442,447.0,454.0,462.0
".Yukon-Koyukuk Census Area, Alaska",4013,4013,4013.0,4011.0,4010.0
".Apache County, Arizona",28723,28747,28863.0,29034.0,29193.0
".Cochise County, Arizona",58648,58782,59153.0,59762.0,60174.0
".Coconino County, Arizona",69109,69413,70057.0,70555.0,71049.0
".Gila County, Arizona",32373,32392,32590.0,32765.0,32934.0
".Graham County, Arizona",13704,13744,13932.0,14130.0,14304.0
".Greenlee County, Arizona",4389,4390,4404.0,4438.0,4468.0
".La Paz County, Arizona",13457,13478,13685.0,13719.0,13729.0
".Maricopa County, Arizona",1812826,1819519,1849827.0,1878130.0,1913901.0
".Mohave County, Arizona",117650,118048,119458.0,120934.0,122886.0
".Navajo County, Arizona",56180,56282,56779.0,57455.0,58075.0
".Pima County, Arizona",470131,471088,474806.0,479648.0,484397.0
".Pinal County, Arizona",172877,174168,179303.0,185649.0,189787.0
".Santa Cruz County, Arizona",18729,18765,18951.0,19174.0,19467.0
".Yavapai County, Arizona",121153,121682,123875.0,126313.0,128625.0
".Yuma County, Arizona",92048,92389,93788.0,95453.0,96592.0
".Arkansas County, Arkansas",8671,8672,8682.0,8700.0,8707.0
".Ashley County, Arkansas",9371,9371,9381.0,9400.0,9404.0
".Baxter County, Arkansas",22699,22706,22794.0,22941.0,22999.0
".Benton County, Arkansas",113088,114004,118182.0,122436.0,127365.0
".Boone County, Arkansas",17368,17371,17386.0,17430.0,17456.0
".Bradley County, Arkansas",5073,5071,5069.0,5067.0,5063.0
".Calhoun County, Arkansas",2444,2445,2451.0,2462.0,2466.0
".Carroll County, Arkansas",13854,13872,13908.0,13972.0,14000.0
".Chicot County, Arkansas",5105,5104,5106.0,5110.0,5108.0
".Clark County, Arkansas",9977,9980,10000.0,10056.0,10060.0
".Clay County, Arkansas",7470,7474,7474.0,7494.0,7498.0
".Cleburne County, Arkansas",15527,15535,15655.0,15716.0,15751.0
".Cleveland County, Arkansas",3569,3570,3580.0,3596.0,3603.0
".Columbia County, Arkansas",10999,11004,11013.0,11042.0,11049.0
".Conway County, Arkansas",9646,9649,9668.0,9701.0,9724.0
".Craighead County, Arkansas",46739,46937,47869.0,48918.0,49937.0
".Crawford County, Arkansas",25300,25328,25455.0,25626.0,25748.0
".Crittenden County, Arkansas",21290,21295,21349.0,21398.0,21445.0
".Cross County, Arkansas",7585,7586,7599.0,7625.0,7519.0
".Dallas County, Arkansas",3467,3467,3470.0,3477.0,3477.0
".Desha County, Arkansas",5796,5796,5796.0,5796.0,5793.0
".Drew County, Arkansas",8258,8262,8279.0,8302.0,8317.0
".Faulkner County, Arkansas",51685,51792,52705.0,53693.0,54835.0
".Franklin County, Arkansas",7717,7719,7741.0,7766.0,7794.0
".Fulton County, Arkansas",6185,6187,6203.0,6228.0,6241.0
".Garland County, Arkansas",52321,52351,52474.0,52891.0,53009.0
".Grant County, Arkansas",7840,7850,7897.0,7962.0,8006.0
".Greene County, Arkansas",19158,19212,19369.0,19573.0,19847.0
".Hempstead County, Arkansas",9601,9601,9610.0,9630.0,9635.0
".Hot Spring County, Arkansas",14183,14187,14279.0,14322.0,14346.0
".Howard County, Arkansas",6152,6152,6156.0,6167.0,6172.0
".Independence County, Arkansas",16666,16675,16736.0,16798.0,16845.0
".Izard County, Arkansas",6721,6722,6734.0,6758.0,6768.0
".Jackson County, Arkansas",7079,7084,7095.0,7104.0,7100.0
".Jefferson County, Arkansas",30573,30575,30633.0,30680.0,30717.0
".Johnson County, Arkansas",11475,11484,11527.0,11589.0,11598.0
