GeographicArea,Census_Population,Estimates_Base,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019
United States,131704730,131705135,131825383,132312816,132834047,133538615,134388318,135285123,136286436,137366902,138516439,139684244
Northeast Region,23647636,23647701,23665480,23733706,23798264,23865607,23941687,24023978,24123311,24224850,24329061,24435406
MidwestRegion,29483646,29483796,29497733,29561146.0,29628213.0,29723041.0,29837813.0,29963289.0,30091846.0,30237249.0,30392014.0,30534299.0
SouthRegion,49980829,49981037,50039825,50273534.0,50535451.0,50901443.0,51334156.0,51791221.0,52299966.0,52836554.0,53409404.0,54015453.0
WestRegion,28592619,28592601,28622345,28744430.0,28872119.0,29048524.0,29274662.0,29506635.0,29771313.0,30068249.0,30385960.0,30699086.0
.Alabama,2171853,2171865,2174761,2181026.0,2191746.0,2203508.0,2213610.0,2225606.0,2238800.0,2254615.0,2270705.0,2284847.0
.Alaska,306967,306971,307181,308498.0,310002.0,311243.0,312396.0,313933.0,315361.0,316910.0,318307.0,319854.0
.Arizona,2844526,2844503,2849425,2859978.0,2872651.0,2891186.0,2914100.0,2936981.0,2966542.0,3000102.0,3037005.0,3075981.0
.Arkansas,1316299,1316330,1318072,1324638.0,1330927.0,1338640.0,1345392.0,1352639.0,1360401.0,1369522.0,1379970.0,1389129.0
.California,13680081,13680083,13688147,13728423.0,13771156.0,13827794.0,13906691.0,13985614.0,14075264.0,14172348.0,14275353.0,14366336.0
.Colorado,2212898,2212897,2215012,2226631.0,2239177.0,2261232.0,2287950.0,2316814.0,2347589.0,2384092.0,2422816.0,2464164.0
.Connecticut,1487891,1487915,1488645,1491803.0,1494237.0,1498157.0,1502807.0,1507299.0,1512528.0,1517251.0,1521019.0,1524992.0
.Delaware,405885,405891,406498,408937.0,411192.0,414557.0,418666.0,423137.0,427667.0,432753.0,438617.0,443781.0
.District of Columbia,296719,296739,296688,296365.0,299822.0,302495.0,304590.0,307566.0,311257.0,314702.0,319462.0,322793.0
.Florida,8989580,8989565,8995100,9020844.0,9049994.0,9100944.0,9173108.0,9242686.0,9337379.0,9438687.0,9545770.0,9673682.0
.Georgia,4088801,4088897,4091968,4103201.0,4115888.0,4134096.0,4163931.0,4196717.0,4235301.0,4280497.0,4325462.0,4378391.0
.Hawaii,519508,519513,520088,523213.0,525678.0,528391.0,531961.0,534723.0,539757.0,542815.0,545974.0,550273.0
.Idaho,667796,667795,668964,673018.0,676966.0,683118.0,691574.0,700080.0,709739.0,721587.0,735514.0,751105.0
.Illinois,5296715,5296908,5297593,5302784.0,5307183.0,5313209.0,5320642.0,5333389.0,5344777.0,5358908.0,5375571.0,5388066.0
.Indiana,2795541,2795457,2797490,2806770.0,2815736.0,2826106.0,2840421.0,2854584.0,2869448.0,2884772.0,2903203.0,2921032.0
.Iowa,1336417,1336418,1337792,1343427.0,1348745.0,1356423.0,1366191.0,1375304.0,1385453.0,1397680.0,1409413.0,1418626.0
.Kansas,1233215,1233211,1234456,1238052.0,1241992.0,1246675.0,1253284.0,1258999.0,1265684.0,1273536.0,1280649.0,1288401.0
.Kentucky,1927164,1927156,1928556,1934697.0,1940609.0,1948490.0,1955535.0,1963049.0,1972133.0,1983422.0,1994543.0,2006358.0
.Louisiana,1964981,1964981,1968181,1978988.0,1990709.0,2002712.0,2015806.0,2030269.0,2043163.0,2060665.0,2075397.0,2089777.0
.Maine,721830,721811,722481,724968.0,727147.0,729642.0,732586.0,735433.0,738762.0,742490.0,746534.0,750939.0
.Maryland,2378814,2378870,2380132,2386743.0,2394788.0,2404438.0,2416438.0,2426669.0,2437416.0,2448604.0,2458577.0,2470316.0
.Massachusetts,2808254,2808244,2809885,2817715.0,2826209.0,2838058.0,2851556.0,2865240.0,2881140.0,2896402.0,2913825.0,2928732.0
.Michigan,4532233,4532262,4532225,4535204.0,4539456.0,4546159.0,4553857.0,4564395.0,4577865.0,4594590.0,4614123.0,4629611.0
.Minnesota,2347201,2347200,2348693,2356135.0,2362646.0,2375704.0,2389731.0,2403402.0,2419289.0,2437254.0,2455773.0,2477753.0
